city,country,ID,date,cloudiness,humidity,latitude,longitude,temperature,wind speed
Ban Bung,TH,1608418,1535063669,92,99,18.31,100.7,72.34,3.47
Teknaf,BD,1185095,1535063669,100,100,20.86,92.31,73.87,3.36
Tucupita,VE,3625929,1535063670,68,98,9.06,-62.05,75.22,2.46
Torbay,CA,6167817,1535061600,90,94,47.66,-52.73,71.6,16.11
Kuito,AO,3348078,1535063670,8,64,-12.38,16.94,58.12,2.91
Tasiilaq,GL,3424607,1535063561,0,96,65.61,-37.64,43.81,1.34
Lagoa,PT,2267254,1535061600,0,30,37.14,-8.45,86.0,17.22
Atikokan,CA,5888001,1535063671,0,55,48.76,-91.62,73.69,6.15
Eyl,SO,60019,1535063671,0,84,7.98,49.82,74.77,21.47
Dunmore Town,BS,3572462,1535063418,8,100,25.5,-76.65,84.49,10.51
Ozernovskiy,RU,2122293,1535063671,64,95,51.5,156.52,52.0,3.8
Katherine,AU,2068655,1535061600,0,81,-14.47,132.26,53.6,3.36
Hasaki,JP,2112802,1535059800,75,83,35.73,140.83,82.4,13.87
Karlshamn,SE,2701727,1535061000,8,100,56.17,14.86,62.6,1.12
Aksarka,RU,1512019,1535063672,0,73,66.56,67.8,52.09,6.49
Aswan,EG,359792,1535063378,0,35,24.09,32.9,80.31,8.61
Watsa,CD,204283,1535063673,44,95,3.04,29.53,62.26,4.14
Alice Town,BS,3572924,1535063673,0,100,25.72,-79.3,85.57,8.95
Porto Walter,BR,3662761,1535063673,0,75,-8.27,-72.74,77.92,2.35
Christiana,ZA,1013550,1535063674,0,42,-27.91,25.16,42.37,8.28
Grand-Santi,GF,3381538,1535063674,88,49,4.27,-54.38,85.75,3.24
Broome,AU,2075720,1535061600,0,32,-17.97,122.23,53.6,6.93
Eureka,US,5563397,1535061300,90,77,40.8,-124.16,60.98,10.29
Ossora,RU,2122389,1535063674,0,99,59.24,163.07,58.39,5.03
Puerto Colombia,CO,3671497,1535062200,75,100,10.99,-74.96,71.6,11.41
Bella Union,UY,3443631,1535063675,80,81,-30.28,-57.6,63.7,7.38
Ribas do Rio Pardo,BR,3451399,1535063675,0,71,-20.45,-53.76,72.16,7.94
Chapada dos Guimaraes,BR,3466307,1535061600,0,27,-15.46,-55.75,91.4,8.05
Xichang,CN,1789647,1535063676,88,72,27.88,102.25,56.77,1.57
Lerici,IT,3174856,1535060700,40,100,44.07,9.91,73.4,3.36
Takab,IR,113508,1535063505,0,91,36.4,47.11,44.62,2.13
Narsaq,GL,3421719,1535061000,20,61,60.91,-46.05,48.2,3.36
Aykhal,RU,2027296,1535063677,92,95,65.95,111.51,50.11,8.05
Naantali,FI,645212,1535062800,0,93,60.45,22.03,62.6,6.93
Petropavlovsk-Kamchatskiy,RU,2122104,1535061600,20,76,53.05,158.65,53.6,2.24
Wattegama,LK,1241622,1535063678,80,98,7.35,80.68,70.27,3.69
Batagay,RU,2027044,1535063678,56,93,67.65,134.64,52.09,9.84
Carnarvon,AU,2074865,1535063678,0,98,-24.87,113.63,58.48,17.22
Mercedes,AR,3430709,1535063678,68,87,-29.18,-58.08,59.56,7.38
Ritchie,ZA,961226,1535061600,0,60,-29.03,24.6,39.2,1.12
Amazar,RU,2027806,1535063679,0,73,53.86,120.88,65.41,3.13
Balabac,PH,1728675,1535063679,64,100,7.99,117.06,78.64,6.49
Barreirinhas,BR,3406196,1535063632,0,71,-2.75,-42.83,78.91,11.18
Namibe,AO,3347019,1535063553,0,100,-15.19,12.15,64.42,7.05
Port-Gentil,GA,2396518,1535061600,20,88,-0.72,8.78,75.2,4.7
Lieksa,FI,648090,1535063680,8,91,63.32,30.02,46.51,2.35
Lerwick,GB,2644605,1535062800,92,87,60.15,-1.15,51.8,8.05
Bilibino,RU,2126682,1535063680,56,67,68.06,166.44,54.34,3.36
Ugoofaaru,MV,1337619,1535063627,92,100,5.67,73.0,82.42,12.41
Garachine,PA,3709361,1535063681,80,100,8.06,-78.36,79.18,5.14
Canutama,BR,3664716,1535063681,32,89,-6.53,-64.38,78.1,1.57
Pevek,RU,2122090,1535063575,64,100,69.7,170.27,41.65,10.85
Morant Bay,JM,3489440,1535061600,75,55,17.88,-76.41,86.0,12.75
General Pico,AR,3855075,1535063681,44,38,-35.66,-63.75,52.9,10.63
Bethel,US,5880568,1535061180,90,77,60.79,-161.76,55.04,13.87
Dunedin,NZ,2191562,1535063682,20,92,-45.87,170.5,44.71,9.95
Agadez,NE,2448085,1535063683,0,48,16.97,7.99,82.24,9.73
Great Falls,US,5655240,1535061480,1,18,47.5,-111.29,86.0,21.92
Miranda,BR,3457113,1535063683,0,85,-20.24,-56.38,71.35,5.03
Ninghai,CN,1799384,1535061600,0,88,29.29,121.42,75.2,4.47
Hofn,IS,2630299,1535063684,56,100,64.25,-15.21,48.04,2.57
Muroto,JP,1856392,1535058600,75,83,33.37,134.14,82.4,10.29
Turiacu,BR,3665361,1535063684,76,96,-5.01,-63.0,75.22,3.69
Edd,ER,338345,1535063684,20,39,13.93,41.69,78.19,2.46
Oconomowoc,US,5265499,1535061300,40,52,43.11,-88.5,78.98,11.41
Hua Hin,TH,1153269,1535063436,92,99,12.57,99.96,82.78,15.66
Cascais,PT,2269594,1535061600,0,88,38.7,-9.42,69.8,3.36
Puerto Narino,CO,3671387,1535061600,20,62,-3.77,-70.38,87.8,4.7
Segezha,RU,497927,1535063686,48,92,63.74,34.31,56.41,5.93
